Title,Other titles,BL record ID,Type of resource,Content type,Material type,BNB number,ISBN,Name,Dates associated with name,Type of name,Role,All names,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of publication,Edition,Physical description,Dewey classification,BL shelfmark,Topics,Genre,Languages,Notes
Beware our power!,,15790148,Monograph,Language material ; Text,Volume,GBB146726,9781406227185 ; 9781406227253,"Sonneborn, Scott",,person,,"Sonneborn, Scott [person]",Super DC heroes: Green Lantern,,England,London,Raintree,2012,,"55 pages, chiefly colour illustrations, 19 cm",741.5,YK.2012.a.7529,"Green Lantern (Fictitious character)--Comic books, strips, etc--Juvenile fiction",Children's fiction ; Comic or graphic novel,English,
Beware the Batman. Volume 1,,16974309,Monograph,Language material ; Still image ; Text,Volume,GBB4E4983,9781401249366,"Cohen, Ivan",,person,author,"Manning, Matthew K. [person] ; Beatty, Scott, 1969- [person] ; Vecchio, Luciano, illustrator [person] ; Watson, Mitch [person] ; Barr, Mike W. [person] ; Brizuela, Dario, illustrator [person] ; Cohen, Ivan, author [person]",,,United States of America,New York,DC Comics,2015,,"1 volume (unpaged), colour illustrations, 26 cm",741.5973,YKL.2016.b.3503,"Graphic novels ; Batman, (Fictitious character)--Comic books, strips, etc--Juvenile fiction ; JUVENILE FICTION / Comics & Graphic Novels / Superheroes",Children's fiction ; Comic or graphic novel ; Science fiction,English,'DC Comics'--Cover
Beware the Black Widow,,19633731,Monograph,Language material ; Still image ; Text,Volume,GBB9J4858,9781302921262,"Lee, Stan",1922-2018,person,author,"Thomas, Roy, 1940-, author [person] ; Lee, Stan, 1922-2018, author [person] ; Friedrich, Gary, 1943-, author [person]",Black Widow epic collection,,United States of America,New York,Marvel Worldwide,2020,,"1 volume, chiefly illustrations, 26 cm",741.5973,,"Science fiction comic books, strips, etc ; Black Widow, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction,English,
Beware the babysitter,,13033514,Monograph,Language material ; Text,Volume,GBA480307,9781591825838,"Hartman, Butch",,person,,"Hartman, Butch [person]",The fairly odd parents,2 [The fairly odd parents],England ; United States of America,"London ; Los Angeles, California",Tokyopop,2005,,"96 pages, illustrations, 19 cm",741.5,,"Fairies--Comic books, strips, etc--Juvenile fiction ; Babysitters--Comic books, strips, etc--Juvenile fiction",Children's fiction ; Comic or graphic novel ; Novel,English,
Beware their power,,18635470,Monograph,Language material ; Still image ; Text,Volume,GBB7N2127,9781401277505,,,,,,Green Lantern Corps,1 [Green Lantern Corps],United States of America,"Burbank, California",DC Comics,2018,,"1 volume, chiefly colour illustrations, 26 cm",741.5973,,"Science fiction comic books, strips, etc ; Green Lantern, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction,English,
Bewegte Mann. Welsh,Penbleth dynol ryw,13393683,Monograph,Language material ; Text,Volume,GBA926990,9780955136603,"König, Ralf",,person,,"Jones, Alun Ceri [person] ; König, Ralf [person]",,,Wales,Tresaith,Dalen,2005,,"128 pages, illustrations, 23 cm",741.5943,YK.2012.a.27025,"German wit and humor, Pictorial--Translations into Welsh ; Comic books, strips, etc ; Sex--Comic books, strips, etc ; Sexual intercourse--Comic books, strips, etc",Comic or graphic novel,Welsh,"Cyhoeddwyd yn wreiddiol yn Almaeneg = Originally published in German: Rowohlt : Hamburg, 1987"
Beyond Wonderland,Escape from Wonderland ; Grimm fairy tales presents Wonderland omnibus ; Return to Wonderland ; Tales from Wonderland ; Wonderland omnibus,16684764,Monograph,Language material ; Still image ; Text,Volume,GBB439780,9781939683632,"Gregory, Raven",,person,author,"Glade, Nicole, editor [person] ; Gregory, Raven [person] ; Gregory, Raven, author [person] ; Shand, Pat, editor [person] ; Brusha, Joe, author [person] ; Tedesco, Ralph, author ; editor [person]",,,United States of America,"Horsham, Pennsylvania",Zenescope,2014,"First edition, July 2014","871 pages, chiefly colour illustrations, 26 cm",741.5973,YKL.2015.b.2144,"Fairy tales--Adaptations--Comic books, strips, etc ; Fantasy comic books, strips, etc ; Carroll, Lewis, 1832-1898--Adaptations",Adaptation ; Comic or graphic novel,English,"'This omnibus reprints the comic series Grimm fairy tales presents: Return to Wonderland, Beyond Wonderland, Escape from Wonderland, and Tales from Wonderland volume 1-3 published by Zenescope Entertainment'--Page 3"
Beyond Wonderland,Grimm fairy tales presents Beyond wonderland ; Zenescope Entertainment presents Beyond wonderland,15459081,Monograph,Language material ; Text,Volume,GBB105369,9780982363003,"Gregory, Raven",,person,,"Gregory, Raven [person] ; Brusha, Joe [person] ; Sibel, Jenna [person] ; Tedesco, Ralph [person] ; Leister, Daniel, 1976- [person]",,,United States of America,"Fort Washington, Pennsylvania",Zenescope Entertainment,2009,,"156 pages, chiefly colour illustrations, 27 cm",741.5973,YK.2011.b.545,,Comic or graphic novel,English,'This volume collects the complete comic book series Beyond wonderland published by Zenescope Entertainment.'
Beyond doomsday,Action comics (Futabasha) ; From a cub to a wolf ; New Krypton ; New Krypton. Volume one ; Strange meetings and chance encounters ; Superman (Comic strip) ; Superman. New Krypton. Volume one ; The worst night of his life,15399191,Monograph,Language material ; Text,Volume,GBB080207,9781401223298 ; 9781401223304 ; 9781848562585,,,,,"Pérez, Pere [person] ; Scott, Steve (Steven M.) [person] ; Johns, Geoff, 1973- [person] ; Guedes, Renato [person] ; Merino, Jesús [person] ; Gates, Sterling [person] ; Frank, Gary, 1969- [person] ; Carvalho, Leno, 1980- [person] ; Robinson, James, 1963- [person] ; Woods, Pete [person]",,,United States of America,New York,DC Comics,2009,,"173, 2 pages, chiefly colour illustrations, 27 cm",741.5973,YK.2010.b.7307,"Comic books, strips, etc--United States ; Superman, (Fictitious character)--Comic books, strips, etc ; Superheroes--Comic books, strips, etc",Comic or graphic novel ; Novel,English,"'Originally published in single magazine form in Superman's Pal, Jimmy Olsen Special 1, Adventure Comics Special Featuring the Guardian 1, Superman: New Krypton Special 1, Superman 681, Action Comics 871'--T.p. verso ; 'Superman created by Jerry Siegel and Joe Shuster.'"
Beyond good and evil,,14657319,Monograph,Language material ; Text,Volume,GBA883629,9781401218508 ; 9781845768942,,,,,"Shuster, Joe, 1914-1992 [person] ; Puckett, Kelley [person] ; Johnson, Drew [person] ; Siegel, Jerry, 1914-1996 [person]",Supergirl,,England,London,Titan,2008,,"166 pages, chiefly colour illustrations, 26 cm",741.5973,YK.2009.b.7918,"Science fiction comic books, strips, etc ; Supergirl, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
Beyond the farthest star,,14889570,Monograph,Language material ; Text,Volume,GBA908542,9781846530814,"Claremont, Chris",1950-,person,,"Claremont, Chris, 1950- [person]",Marvel pocket book ; The uncanny X-men,,England,Tunbridge Wells,Panini,2009,,"191 pages, chiefly colour illustrations, 20 cm",741.5,YK.2010.a.17283,"X-Men (Fictitious characters)--Comic books, strips, etc--Fiction",Children's fiction ; Comic or graphic novel ; Fiction ; Science fiction,English,
