Title,Other titles,BL record ID,Type of resource,Content type,Material type,BNB number,ISBN,Name,Dates associated with name,Type of name,Role,All names,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of publication,Edition,Physical description,Dewey classification,BL shelfmark,Topics,Genre,Languages,Notes
'Gridiron',Southern bastards,17095840,Monograph,Language material ; Still image ; Text,Volume,GBB530283,9781632152695,"Aaron, Jason",,person,author,"Aaron, Jason, author [person] ; Latour, Jason, 1977-, artist [person] ; Girner, Sebastian, editor [person] ; Fletcher, Jared K. [person]",Southern bastards,volume 2 [Southern bastards],United States of America,"Berkeley, California",Image Comics,2015,,"1 volume (unpaged), chiefly illustrations (black and white and colour), 26 cm",741.5973,YKL.2017.b.520,"Alabama--Comic books, strips, etc",Comic or graphic novel,English,'Originally published in single magazine form as Southern bastards #5-8'--Colophon
'Me li'l swee'pea',,15846856,Monograph,Language material ; Text,Volume,GBB183860,9781606994832,"Segar, E. C. (Elzie Crisler)",1894-1938,person,,"Segar, E. C. (Elzie Crisler), 1894-1938 [person]",Popeye,volume 6 [Popeye],England ; United States of America,"London ; Seattle, Washington",Fantagraphics ; Turnaround,2011,,"1 volume, chiefly illustrations, 38 cm",741.5,,"Popeye, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Novel,English,
'Nam. Vol. 1,The 'Nam,15351897,Monograph,Language material ; Text,Volume,GBA981687,9780785137504,"Murray, Doug",,person,,"Golden, Michael, artist [person] ; Murray, Doug [person] ; Vansant, Wayne [person] ; Hama, Larry [person]",,,United States of America,New York,Marvel Publishing,2009,,"237 pages, chiefly colour illustrations, 26 cm",741.5973,YK.2010.b.6185,"Young adult fiction, American ; Graphic novels ; Vietnam War, 1961-1975--Comic books, strips, etc--Fiction ; War stories, American",Comic or graphic novel ; Fiction,English,'Contains material originally in magazine form as The 'Nam #1-10'--Indicia
'Old proldiers never die',Starstruck : 'old proldiers never die',18496184,Monograph,Language material ; Still image ; Text,Volume,GBB7F9843,9781684050185,"Lee, Elaine",,person,author,"Lee, Elaine, author [person] ; Kaluta, Michael Wm (Michael William), artist [person] ; Moyer, Lee, artist [person]",,,United States of America,San Diego,,2017,,"176 pages, illustrations (black and white and colour), 32 cm",741.5973,YKL.2019.b.2396,"Science fiction comic books, strips, etc ; Interplanetary voyages--Comic books, strips, etc ; Women astronauts--Comic books, strips, etc ; Comic books, strips, etc--United States ; Women adventurers--Comic books, strips, etc",Comic or graphic novel ; Science fiction,English,
'Only a poor old man',,16026956,Monograph,Language material ; Text,Volume,GBB212915,9781606995358,"Barks, Carl",1901-2000,person,,"Barks, Carl, 1901-2000 [person] ; Groth, Gary [person]",Walt Disney's Uncle Scrooge,,England ; United States of America,"London ; Seattle, Washington",Fantagraphics ; Turnaround,2012,,"1 volume, chiefly colour illustrations, 26 cm",741.5973,,"Graphic novels ; McDuck, Scrooge (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction,English,
'Open for business!',Okie Dokie Donuts : 'open for business!',15758373,Monograph,Language material ; Text,Volume,GBB125294,9781603090681,"Eliopoulos, Chris",,person,,"Eliopoulos, Chris [person]",,,United States of America,"Marietta, Georgia",Top Shelf Productions,2011,,"46 pages, chiefly colour illustrations, 20 cm",741.5973,YK.2011.a.36389,"Doughnuts--Fiction ; Bakers--Comic books, strips, etc--Juvenile fiction ; Bakers--Fiction ; Cartoons and comics ; Bakeries--Comic books, strips, etc--Juvenile fiction ; Bakeries--Fiction ; Doughnuts--Comic books, strips, etc--Juvenile fiction",Children's fiction ; Comic or graphic novel ; Fiction ; Novel,English,
'Survivors',Novo. Volume 3. 'Survivors',18929794,Monograph,Language material ; Still image ; Text,Volume,,9781934985137,"Bracco, Michael S.",,person,artist ; author,"Bracco, Michael S., artist ; author [person]",,,United States of America,"Levittown, New York",Alterna Comics,2009,,"1 volume (unpaged), black and white illustrations, 23 cm",741.5973,YKL.2019.a.19683,"Life on other planets--Comic books, strips, etc",Comic or graphic novel,English,
'The hole' from X-Men : divided we stand #2,"Road to war of kings ; Secret invasion : war of kings ; War of kings saga ; War of kings, road to war of kings ; X-Men : kingbreaker",14937562,Monograph,Language material ; Text,Volume,GBA930531,9780785139676,,,,,"Pelletier, Paul, 1970- [person] ; Abnett, Dan [person]",,,United States of America,New York,Marvel Publishing,2009,Direct edition,"1 volume (unpaged), chiefly colour illustrations, 26 cm",741.5973,YK.2010.b.1315,"X-Men (Fictitious characters)--Comic books, strips, etc",Comic or graphic novel ; Science fiction,English,"'Contains material originally published in magazine form as X-Men: kingbreaker #1-4, Secret invasion: war of kings, War of kings saga and X-Men: divided we stand #2'--P [2] of cover"
'Til death do us part,,10761690,Monograph,Language material ; Text,Volume,GBA1V1258,9781563898624 ; 9781840233605,,,,,"Shuster, Joe, 1914-1992 [person] ; McGuinness, Ed [person] ; Siegel, Jerry, 1914-1996 [person] ; Loeb, Jeph [person]",Superman,3 [Superman],England ; United States of America,London ; New York,DC Comics ; Titan,2001,,"219 pages, chiefly colour illustrations, 26 cm",741.5973,YK.2003.b.2007,"Metropolis (Imaginary place)--Comic books, strips, etc--Fiction ; Superman, (Fictitious character)--Comic books, strips, etc--Fiction ; Smallville (Kan. : Imaginary place)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,Originally published in single magazine form
'Til death do us part,,18890388,Monograph,Language material ; Still image ; Text,Volume,GBB8A0950,9781302909765,"Guggenheim, Marc",,person,author,"Guggenheim, Marc, author [person]",X-men gold,6 [X-men gold],United States of America,New York,Marvel Worldwide,2018,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"X-Men (Fictitious characters)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
'Till the cows come in,Orchard Down ; Sam and Jack,16016270,Monograph,Language material ; Text,Volume,GBB219398,9780755213962,"Bayliss, R. C.",,person,,"Bayliss, R. C. [person]",,,England,"Sandy, Bedfordshire",Bright Pen,2011,,"152 pages, chiefly illustrations, 22 cm",741.5942,YK.2012.a.5900,"Farms--Comic books, strips, etc--Juvenile fiction ; Dogs--Comic books, strips, etc--Juvenile fiction",Children's fiction ; Comic or graphic novel ; Novel,English,
'Wha's a jeep?',,15639733,Monograph,Language material ; Text,Volume,GBB0A5075,9781606994047,"Segar, E. C. (Elzie Crisler)",1894-1938,person,,"Segar, E. C. (Elzie Crisler), 1894-1938 [person]",Popeye,volume 5 [Popeye],England ; United States of America,"London ; Seattle, Washington",Fantagraphics ; Turnaround,2011,,"1 volume, chiefly illustrations, 38 cm",741.5,,"Popeye, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Novel,English,
(H) afrocentric comics. Volumes 1-4,Works. Selections,18460901,Monograph,Language material ; Still image ; Text,Volume,GBB7D7922,9781629634487,"Smith, Juliana",,person,author,"Smith, Juliana, author [person] ; Hampton, Mike, artist [person] ; Nelson, Ronald R., artist [person]",,,United States of America,Oakland,PM Press,2017,,"1 volume, chiefly black and white illustrations, 26 cm",741.5973,,"Graphic novels ; African Americans--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction,English,Additional physical form: ebook version. 9781629634555
(H) afrocentric comics. Volumes 1-4,Works. Selections,18498726,Monograph,Language material ; Still image ; Text,Online resource (PDF ebook ; ePub ebook ; Mobipocket ebook),GBB7G2383,9781629634555 ; 9781629634722 ; 9781629634890,"Smith, Juliana",,person,author,"Smith, Juliana, author [person] ; Hampton, Mike, artist [person] ; Nelson, Ronald R., artist [person]",,,United States of America,Oakland,PM Press,2017,,"1 online resource, chiefly black and white illustrations",741.5973,,"Graphic novels ; African Americans--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction,English,Additional physical form: Print version. 9781629634487
--and die,Mourir. English,15468961,Monograph,Language material ; Text,Volume,GBB007566,9781849180320,"Hamme, Jean van",1939-,person,,"Hamme, Jean van, 1939- [person] ; Francq, Philippe [person]",Largo Winch,6 [Largo Winch],England,Canterbury,Cinebook,2010,,"48 pages, chiefly colour illustrations, 26 cm",741.59493,YK.2011.b.10418,"Business enterprises--Comic books, strips, etc--Fiction ; Billionaires--Comic books, strips, etc--Fiction ; Murder--Comic books, strips, etc--Fiction ; Kidnapping--Comic books, strips, etc--Fiction ; Venice (Italy)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Novel ; Suspense fiction,English,"'Originally edition: Dupuis, 1999'--T.p. verso ; Translated from the French"
1%,One percent ; One% ; Renato Jones. Season one. The one%,18037948,Monograph,Language material ; Still image ; Text,Volume,GBB6D6329,9781632159007,"Andrews, Kaare",,person,artist ; author,"Andrews, Kaare, artist ; author [person] ; Powell, Jeff, letterer [person] ; Girner, Sebastian, editor [person]",,,United States of America,"Portland, Oregon",Image Comics,2017,,"1 volume (unpaged), chiefly illustrations (black and white and colour), 26 cm",741.5971,YKL.2018.b.2173,"Vigilantes--Comic books, strips, etc ; Equality--Comic books, strips, etc",Comic or graphic novel ; Novel,English,'Originally published in single magazine form as Renato Jones: the one% #1-5'--Colophon ; Rated M / Mature
10 dance,Ten dance,19115738,Monograph,Language material ; Still image ; Text,Volume,GBB8K2800,9781632367655,Inouesatoh,,person,artist ; author,"Inouesatoh, artist ; author [person]",,,United States of America,New York,Kodansha Comics,2019,,"1 volume, chiefly colour illustrations, 21 cm",741.5,,"Gay men--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Novel,English,Translated from the Japanese
10 dance. 2,Ten dance,19211159,Monograph,Language material ; Still image ; Text,Volume,GBB910065,9781632367662,Inouesatoh,,person,artist ; author,"Inouesatoh, artist ; author [person]",,,United States of America,New York,Kodansha Comics,2019,,"1 volume, chiefly colour illustrations, 21 cm",741.5,,"Gay men--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Novel,English,Translated from the Japanese
10 dance. 3,Ten dance,19282007,Monograph,Language material ; Still image ; Text,Volume,GBB942508,9781632367679,Inouesatoh,,person,artist ; author,"Inouesatoh, artist ; author [person]",Yaoi manga,,United States of America,New York,Kodansha Comics,2019,,"1 volume, chiefly colour illustrations, 21 cm",741.5,,"Gay men--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Novel,English,Translated from the Japanese
10 dance. 4,Ten dance,19428405,Monograph,Language material ; Still image ; Text,Volume,GBB9A1947,9781632367808,Inouesatoh,,person,artist ; author,"Inouesatoh, artist ; author [person]",,,United States of America,New York,Kodansha Comics,2019,,"1 volume, chiefly illustrations, 21 cm",741.5,,"Gay men--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Novel,English,Translated from the Japanese
