ISBN,Title,Other Titles,Author,All Names,Country of Publication,Place of Publication,Publisher,Publication Year
9781781085592,2000 AD,Complete future shocks. Volume 01. 1977-1981 ; Tharg's future-shocks,"Moore, Steve","Blasquez, artist [person] ; Moore, Steve, 1949-2014, author [person]",England,Oxford,Rebellion,2018
9781907992469,2000 AD,Cradlegrave,"Smith, John","Smith, John, 1967- [person] ; Bagwell, Edmund [person]",England,Oxford,Rebellion,2011
9781781081082,2000 AD,Day of chaos. The fourth faction ; Judge Dredd megazine ; Judge Dredd. Day of chaos. The fourth faction,"Wagner, John","MacNeil, Colin [person] ; Johnson, Staz [person] ; Flint, Henry, artist [person] ; Wagner, John, 1949- [person] ; Willsher, Ben [person]",England,Oxford,Rebellion,2013
9781906735104,2000 AD,Defoe. 1666,"Mills, Pat","Gallagher, Leigh [person] ; Mills, Pat [person]",England,Oxford,Rebellion,2009
9781907992476,2000 AD,Defoe. Queen of the zombies ; Queen of the zombies,"Mills, Pat","Gallagher, Leigh [person] ; Mills, Pat [person]",England,Oxford,Rebellion,2011
9781781080382,2000 AD,Destroyer ; Shakara. The destroyer,"Morrison, Robbie","Flint, Henry [person] ; Morrison, Robbie [person]",England,Oxford,Rebellion,2012
9781905437450,2000 AD,Durham Red : the empty suns,"Abnett, Dan","Harrison, Mark, 1963- [person] ; Abnett, Dan [person]",England,Oxford,Rebellion,2007
9781904265863,2000 AD,Durham Red. The Scarlet cantos ; Scarlet cantos,"Abnett, Dan","Harrison, Mark, 1963- [person] ; Abnett, Dan [person]",England,Oxford,Rebellion,2006
9780600599685,2000 AD,Durham Red: the Scarlet cantos,"Abnett, Dan","Harrison, Mark, 1963- [person] ; Abnett, Dan [person]",England,London,Hamlyn,1999
9781905437931,2000 AD,Eurocrash ; Sinister Dexter. Eurocrash,"Abnett, Dan","Marshall, Paul [person] ; Abnett, Dan [person]",England,Oxford,Rebellion,2009
9781905437160,2000 AD,Fort Neuro ; Rogue Trooper. Fort Neuro,"Finley-Day, Gerry","Finley-Day, Gerry [person] ; Ewins, Brett [person] ; Kennedy, Cam [person] ; Wilson, Colin, 1949 October 31- [person]",England,Oxford,Rebellion,2006
9781781080405,2000 AD,Guv'nor ; Savage. The guv'nor,"Mills, Pat","Goddard, Patrick [person] ; Mills, Pat [person] ; Blasco, Jesus [person]",England,Oxford,Rebellion,2012
9781905437597,2000 AD,Hell and high water ; Nikolai Dante. Hell and high water,"Morrison, Robbie","Fraser, Simon, 1969- [person] ; Burns, John, 1938- [person] ; Morrison, Robbie [person]",England,Oxford,Rebellion,2008
9781907992223,2000 AD,Hero of the revolution ; Nikolai Dante. Hero of the revolution,"Morrison, Robbie","Fraser, Simon, 1969- [person] ; Burns, John, 1938- [person] ; Morrison, Robbie [person]",England,Oxford,Rebellion,2011
9781906735982,2000 AD,Hewligan's haircut ; Milligan and Hewlett present Hewligan's haircut,"Milligan, Peter","Milligan, Peter [person] ; Hewlett, Jamie [person]",England,Oxford,Rebellion,2010
9780600596400,2000 AD,Judge Dredd : Necropolis,"Wagner, John","Ezquerra, Carlos [person] ; Wagner, John, 1949- [person]",England,London,Hamlyn,1998
9780600596387,2000 AD,Judge Dredd : blind justice ; Judge Dredd the megazine,"Wagner, John","Burns, John, 1938- [person] ; Wagner, John, 1949- [person]",England,London,Hamlyn,1998
9781905437580,2000 AD,Judge Dredd Magazine ; Judge Dredd. America,"Wagner, John","MacNeil, Colin [person] ; Wagner, John, 1949- [person]",England,Oxford,Rebellion,2008
